hari_ke,tanggal,total_kasus,kasus_baru,total_kematian,kematian_baru,total_sembuh,sembuh_baru,kasus_aktif,DR,RR,CAR
257,13/11/2020,457735,5444,15037,104,385094,3010,57604,0.0329,0.8413,0.1258
258,14/11/2020,463007,5272,15148,111,388094,3000,59765,0.0327,0.8382,0.1291
259,15/11/2020,467113,4106,15211,63,391991,3897,59911,0.0326,0.8392,0.1283
260,16/11/2020,470648,3535,15296,85,395443,3452,59909,0.0325,0.8402,0.1273
261,17/11/2020,474455,3807,15393,97,398636,3193,60426,0.0324,0.8402,0.1274
262,18/11/2020,478720,4265,15503,110,402347,3711,60870,0.0324,0.8405,0.1272
263,19/11/2020,483518,4798,15600,97,406612,4265,61306,0.0323,0.8409,0.1268
264,20/11/2020,488310,4792,15678,78,410552,3940,62080,0.0321,0.8408,0.1271
265,21/11/2020,493308,4998,15774,96,413955,3403,63579,0.0320,0.8391,0.1289
266,22/11/2020,497668,4360,15884,110,418188,4233,63596,0.0319,0.8403,0.1278
267,23/11/2020,502110,4442,16002,118,422386,4198,63722,0.0319,0.8412,0.1269
268,24/11/2020,506302,4192,16111,109,425313,2927,64878,0.0318,0.8400,0.1281
269,25/11/2020,511836,5534,16225,114,429807,4494,65804,0.0317,0.8397,0.1286
270,26/11/2020,516753,4917,16352,127,433649,3842,66752,0.0316,0.8392,0.1292
271,27/11/2020,522581,5828,16521,169,437456,3807,68604,0.0316,0.8371,0.1313
272,28/11/2020,527999,5418,16646,125,441983,4527,69370,0.0315,0.8371,0.1314
273,29/11/2020,534266,6267,16815,169,445793,3810,71658,0.0315,0.8344,0.1341
274,30/11/2020,538883,4617,16945,130,450518,4725,71420,0.0314,0.8360,0.1325
275,01/12/2020,543975,5092,17081,136,454879,4361,72015,0.0314,0.8362,0.1324
276,02/12/2020,549508,5533,17199,118,458880,4001,73429,0.0313,0.8351,0.1336
277,03/12/2020,557877,8369,17355,156,462553,3673,77969,0.0311,0.8291,0.1398
278,04/12/2020,563680,5803,17479,124,466178,3625,80023,0.0310,0.8270,0.1420
279,05/12/2020,569707,6027,17589,110,470449,4271,81669,0.0309,0.8258,0.1434
280,06/12/2020,575796,6089,17740,151,474771,4322,83285,0.0308,0.8245,0.1446
281,07/12/2020,581550,5754,17867,127,479202,4431,84481,0.0307,0.8240,0.1453
282,08/12/2020,586842,5292,18000,133,483497,4295,85345,0.0307,0.8239,0.1454
283,09/12/2020,592900,6058,18171,171,487445,3948,87284,0.0306,0.8221,0.1472
284,10/12/2020,598933,6033,18336,165,491975,4530,88622,0.0306,0.8214,0.1480
285,11/12/2020,605243,6310,18511,175,496886,4911,89846,0.0306,0.8210,0.1484
286,12/12/2020,611631,6388,18653,142,501376,4490,91602,0.0305,0.8197,0.1498
287,13/12/2020,617820,6189,18819,166,505836,4460,93165,0.0305,0.8187,0.1508
288,14/12/2020,623309,5489,18956,137,510957,5121,93396,0.0304,0.8197,0.1498
289,15/12/2020,629429,6120,19111,155,516656,5699,93662,0.0304,0.8208,0.1488
290,16/12/2020,636154,6725,19248,137,521984,5328,94922,0.0303,0.8205,0.1492
291,17/12/2020,643508,7354,19390,142,526979,4995,97139,0.0301,0.8189,0.1510
292,18/12/2020,650197,6689,19514,124,531995,5016,98688,0.0300,0.8182,0.1518
293,19/12/2020,657948,7751,19659,145,536260,4265,102029,0.0299,0.8150,0.1551
294,20/12/2020,664930,6982,19880,221,541811,5551,103239,0.0299,0.8148,0.1553
295,21/12/2020,671778,6848,20085,205,546884,5073,104809,0.0299,0.8141,0.1560
296,22/12/2020,678125,6347,20257,172,552722,5838,105146,0.0299,0.8151,0.1551
